MA MC MH la2 la3 la4 la5 laL m22Squared 
381.665 374.991 348.976 3.97019 0.123629 -0.227785 -0.39466 -0.498815 -273755 
579.281 592.184 174.817 3.29172 9.90343 -5.53964 -5.04009 -0.6763 -102049 
518.34 514.727 142.316 0.307036 7.22897 -3.98172 -4.10507 -0.857818 -92419.2 
505.525 565.451 488.226 0.773043 3.97442 -2.40514 -0.284075 1.28521 -398953 
585.545 515.776 504.52 1.71095 2.32692 1.07993 -1.45949 1.94737 -391234 
272.039 274.754 31.5663 1.78231 3.94303 -1.2555 -1.20643 1.48109 87636.9 
845.3 869.082 814.347 0.118331 2.17922 -2.19636 -0.8489 -0.866042 -1.37873e+06 
503.584 516.556 236.035 0.341022 8.62548 -3.70728 -3.26996 1.64825 -11679.9 
136.264 135.236 127.723 1.12464 0.221661 -0.0280358 -0.0372623 0.156363 -23163.6 
773.471 791.036 702.177 1.33885 6.28137 -2.64668 -1.73846 1.89623 -871353 
745.799 745.493 387.409 4.22162 13.3272 -6.69603 -6.71112 -0.0799313 -305008 
536.803 569.192 393.823 3.83338 6.26416 -3.38264 -2.19877 0.68275 -268876 
510.442 512.596 409.973 2.49134 1.8727 -1.6009 -1.52808 -1.25629 -412181 
568.303 574.799 333.518 1.92383 7.8026 -3.74424 -3.49881 0.559552 -188607 
278.984 329.82 257.421 2.5983 0.171966 -1.21397 -0.191129 -1.23313 -207155 
557.352 554.594 476.273 0.448655 3.93499 -1.28348 -1.38485 1.26666 -377018 
226.52 243.699 157.362 3.46804 1.13965 -0.705663 -0.438697 -0.0047107 -49810.9 
944.182 949.801 168.017 2.17727 30.4512 -14.6165 -14.2648 1.56991 38545.1 
811.522 809.222 224.011 0.809333 19.6891 -9.9301 -10.0533 -0.294285 -118171 
362.124 375.956 345.463 3.47412 1.31469 -0.532199 -0.194805 0.587682 -203126 
107.937 149.556 26.3361 0.265702 0.704059 -0.535228 -0.181055 -0.0122245 -2126.96 
275.694 297.409 231.374 3.14845 1.24876 -0.782658 -0.371363 0.0947406 -101335 
921.537 926.672 409.213 0.325593 21.4233 -11.5797 -11.266 -1.42241 -420988 
688.991 721.722 539.002 1.18314 6.72774 -4.56959 -3.04358 -0.885424 -634629 
641.383 634.362 479.091 2.83407 7.51086 -2.70889 -3.00489 1.79708 -350303 
784.923 794.414 494.213 2.57128 13.4007 -6.64016 -6.14479 0.615789 -451227 
376.574 395.432 277.484 3.27342 1.20782 -1.55212 -1.07096 -1.41526 -239641 
967.034 970.399 15.325 4.23156 32.1243 -15.6646 -15.4491 1.01056 60685.5 
340.21 358.451 32.3891 3.42794 2.99677 -2.31645 -1.89526 -1.21495 -75621.8 
230.179 223.925 141.388 0.109262 1.25211 -0.451315 -0.545173 0.255624 -24512 
565.967 617.03 499.95 4.42753 5.3573 -3.15923 -1.1628 1.03527 -437250 
618.593 470.824 465.361 0.845724 0.302423 2.57565 -2.74469 0.133386 -425049 
790.362 788.792 436.058 2.4664 12.8889 -7.09842 -7.18033 -1.38986 -464403 
233.206 230.573 159.043 1.38124 0.855547 -0.440359 -0.480704 -0.0655156 -54553.8 
399.415 406.927 165.426 2.37075 3.54514 -2.38417 -2.184 -1.02304 -116642 
145.811 149.616 24.2456 3.1358 2.56021 -0.37876 -0.341613 1.83984 110164 
298.826 344.064 265.894 3.80307 2.71172 -1.2685 -0.307314 1.13591 -72658.2 
726.812 735.904 327.497 0.181812 13.7688 -7.39638 -6.95687 -0.584461 -249878 
930.721 926.44 853.32 0.486265 3.50289 -2.01908 -2.28182 -0.798014 -1.5046e+06 
333.609 326.173 292.401 3.93327 0.788077 -0.264148 -0.426278 0.0976511 -165087 
940.809 990.094 902.875 2.10884 6.17359 -4.30081 -1.15571 0.717067 -1.58697e+06 
700.216 754.235 690.305 3.47309 2.72493 -2.82434 -0.227752 -0.327162 -972839 
361.541 381.371 69.8439 3.06007 4.85613 -2.56622 -2.07934 0.210567 2986.35 
