S	T
-0.00914085	0.0148698
-0.0147051	0.0152092
-0.0116678	0.0195196
-0.00692739	0.104602
0.00821494	-0.00533662
-0.00527985	0.060853
-0.000584863	-0.00597965
-0.0128784	0.0115295
0.00380476	-0.00309504
0.018386	-0.00805074
-0.0215513	0.0713448
-0.00147921	0.00364
-0.0214624	0.00951477
-0.0073733	0.0530292
-0.0110543	0.0426303
-0.00611796	-0.0241433
-0.000241086	7.52358e-05
-0.00536966	-0.00882513
0.00158279	-0.00265205
-0.00369424	0.0148252
-0.00432483	0.00857501
-0.0010182	-0.0136249
-0.0224262	0.04601
-0.0209478	0.0789838
-0.0029664	0.0130372
-0.00271449	0.00441886
-0.00576916	0.0745093
-0.00136191	-0.00936353
-0.00921581	0.0135803
-0.0126855	-0.0109129
-0.00485544	-0.00608715
-0.00916802	0.00443643
-0.020956	0.0373421
-0.00852407	0.0838856
-0.0149734	0.0312784
-0.00223823	0.000811366
0.010589	-0.00778338
-0.00445633	0.0666764
0.000490673	-0.0160019
-0.0125074	-0.0142815
-0.00540031	0.107489
-0.0148138	0.044959
-0.00796299	0.0367173
-0.00588429	0.0296141
-0.000302566	-0.00382526
0.0164903	-0.00277209
0.00626492	-0.0141925
-0.0110278	0.0463138
0.00111425	-0.0161783
-0.0044723	0.0209581
-0.00531241	0.00154257
-0.00647573	0.00308453
-0.00866188	0.0158679
-0.0106418	-0.026701
-0.00455979	0.059005
-0.00973314	-0.01838
0.00895898	-0.0150149
-0.0145308	0.00165805
-0.0221571	0.0864851
-0.0165042	-0.00732481
0.00331783	-0.0109206
-0.0215611	-0.0172215
-0.00368276	0.0471256
-0.00324791	0.0532412
-0.00132418	0.00167818
-0.00833549	-0.0213855
-0.0120513	0.0460481
-0.0125975	0.0804351
-0.00190331	0.00353668
-0.00915239	-0.00759272
-0.0017749	-0.00802182
-0.00515922	-0.0169523
-0.0255154	0.0977676
-0.00404831	0.00448372
-0.000807236	-0.00194489
-0.0164682	-0.0189297
-0.0149521	0.0550143
-0.0156289	0.0611252
-5.81184e-05	-0.0043543
-0.0170931	0.0317861
-0.0116598	0.110738
-0.00411737	0.075565
-0.0207814	0.0611952
-0.00855646	0.0290316
-0.0242695	0.0805145
-0.00214527	0.00143845
-0.001134	-0.00467927
-0.0215837	0.0214969
0.0109202	-0.0137668
-0.00666047	-0.00191878
-0.000544642	-0.00100489
-0.00462823	0.00118601
-0.0116226	-0.00939216
-0.0192171	-0.0302267
-0.0183786	0.0923739
0.00899379	-0.00930666
-0.00321782	0.0329838
-0.020169	0.0662651
0.00192433	-0.00330341
0.000796424	-0.0120777
-0.00685629	-0.0147436
-0.00146029	0.00713815
-0.00499283	0.0794091
-0.00960171	0.0876107
-0.00703526	0.0336629
-0.015826	0.0524732
-0.00888176	0.0107068
-0.00271453	0.00253358
-0.00328698	0.0311165
0.00118707	-0.0190066
-0.014833	0.0745092
-0.0149128	0.0289398
-0.0064727	-0.0178768
-0.0216023	0.0114591
-0.0143142	0.0427001
-0.00427805	0.0752201
0.000922464	-0.0135999
-0.0171519	-0.0232206
-0.0128237	0.0290975
-0.0145664	0.0811049
0.0212685	-0.00294953
