MA		MC		MH		la2		la3		la4		la5		laL		m22Squared		
829.333		813.915		913.636		-465.648		193.557		3.26539		2.42809		199.25		1.03884e+07		
127.981		251.302		253.441		327.172		-440.591		-0.755071		0.790755		-440.555		-2.67891e+07		
622.256		638.73		339.772		-421.935		-315.572		-5.17723		-4.49067		-325.239		-1.99131e+07		
288.948		264.841		600.987		260.271		479.122		5.02998		4.58877		488.741		2.88543e+07		
594.851		778.312		778.533		-205.777		468.199		-4.1572		4.16858		468.211		2.7122e+07		
915.194		935.806		631.191		-487.538		393.122		-8.51815		-7.25722		377.347		2.20387e+07		
647.557		556.353		557.308		340.955		-384.906		1.832		-1.79684		-384.871		-2.3912e+07		
166.477		215.523		162.27		138.408		-26.9701		-0.642042		-0.0228543		-27.635		-1.72502e+06		
501.987		684.042		653.256		-413.373		46.4247		-4.24831		2.8877		45.0641		1.87361e+06		
742.293		689.599		742.977		192.945		412.503		2.51043		0.0167885		415.03		2.40119e+07		
175.112		248.835		243.028		203.827		-460.783		-0.563666		0.469267		-460.878		-2.80086e+07		
888.534		897.2		929.621		385.877		423.936		0.722964		1.23442		425.893		2.40449e+07		
920.074		961.433		903.181		270.776		-85.714		-3.08077		-0.508982		-89.3038		-7.03578e+06		
312.775		233.421		317.208		384.411		-96.0643		1.4786		0.0461545		-94.5396		-5.9224e+06		
759.74		572.655		574.092		-82.585		370.49		4.14632		-4.09186		370.544		2.17647e+07		
968.393		903.01		899.744		-363.304		-149.037		1.9246		-2.11921		-149.232		-1.065e+07		
624.83		520.622		538.872		-224.537		-493.363		2.29197		-1.65295		-492.724		-3.03985e+07		
51.4953		310.525		291.804		-76.9797		141.866		-1.7359		1.36324		141.493		8.39232e+06		
345.981		321.245		339.128		176.425		283.379		0.467887		-0.0775863		283.77		1.69426e+07		
438.019		114.621		128.821		17.8199		-268.338		3.01044		-2.89619		-268.223		-1.6265e+07		
336.455		349.158		164.959		237.209		274.905		-1.70878		-1.42096		271.776		1.63924e+07		
235.517		231.627		767.383		100.234		468.292		8.8744		8.81435		485.981		2.82319e+07		
148.661		136.883		447.344		451.6		486.105		3.05279		2.94164		492.099		2.93797e+07		
414.033		281.112		321.476		225.945		-483.681		1.92879		-1.12494		-482.877		-2.94285e+07		
498.38		484.648		919.767		302.886		147.309		10.321		9.87488		167.505		8.44478e+06		
448		437.311		307.317		232.445		329.6		-1.44315		-1.7559		326.401		1.95636e+07		
454.502		467.277		105.192		-79.8347		405.016		-3.61983		-3.23067		398.165		2.40732e+07		
481.721		464.303		484.666		-76.7711		-355.422		0.591608		0.0470299		-354.784		-2.19399e+07		
151.65		45.3228		82.8895		278.48		-223.835		0.425674		-0.266492		-223.676		-1.35497e+07		
781.039		801.615		613.892		93.2527		379.687		-4.92911		-3.85284		370.905		2.16919e+07		
479.482		480.895		782.257		443.822		36.4322		6.26789		6.31276		49.0128		1.74221e+06		
185.784		526.3		529.844		211.829		-374.984		-3.94496		4.06866		-374.861		-2.32465e+07		
671.049		681.891		196.397		14.7002		-263		-7.2885		-6.80374		-277.093		-1.68457e+07		
797.129		759.942		752.799		-252.653		-86.812		0.778227		-1.13537		-87.1691		-6.40854e+06		
738.19		675.451		719.804		341.822		-211.466		2.48819		-0.442966		-209.421		-1.37096e+07		
239.5		261.904		276.147		240.398		195.978		-0.0589886		0.312259		196.231		1.17226e+07		
858.25		853.082		678.666		-206.244		128.613		-4.26857		-4.56087		119.783		6.32763e+06		
11.569		259.086		231.458		136.673		493.894		-1.33096		0.883058		493.446		2.97542e+07		
590.348		584.697		931.78		399.147		-189.273		8.8073		8.58785		-171.878		-1.21378e+07		
266.143		365.435		324.884		265.293		-170.319		-1.49884		0.573694		-171.245		-1.05741e+07		
464.094		524.39		441.653		-118.535		239.54		-2.30568		-0.335871		236.899		1.3946e+07		
730.72		856.286		807.6		-308.252		-202.956		-4.63151		1.95431		-205.633		-1.37485e+07		
659.878		658.818		549.595		411.042		-107.713		-2.15792		-2.20412		-112.075		-7.38644e+06		
122.073		39.5548		150.093		114.083		254.235		0.566802		0.126016		254.928		1.53822e+07		
505.17		601.78		580.155		-368.388		182.581		-2.18953		1.34482		181.737		1.03248e+07		
472.857		471.132		889.679		334.621		192.935		9.43866		9.38487		211.759		1.12318e+07		
189.124		169.99		480.428		-499.75		99.3981		3.4501		3.223		106.071		5.95738e+06		
954.807		954.019		904.99		486.112		48.2284		-1.48127		-1.53099		45.2161		1.09828e+06		
637.778		650.504		345.098		276.281		-57.3241		-5.29542		-4.75358		-67.3731		-4.31534e+06		
85.1144		323.867		331.398		404.533		-337.878		-1.532		1.69509		-337.715		-2.06568e+07		
933.546		928.849		716.621		45.8824		-368.093		-5.62609		-5.91518		-379.634		-2.4001e+07		
295.788		273.884		611.246		315.888		-166.788		5.14058		4.72818		-156.919		-1.02433e+07		
717.153		722.199		708.997		-222.178		128.364		-0.432248		-0.192195		127.739		6.72493e+06		
576.953		758.861		749.546		-77.8247		-331.072		-4.24758		3.7832		-331.537		-2.11869e+07		
780.674		830.272		811.046		114.445		254.781		-1.84174		0.798848		253.738		1.40396e+07		
836.788		791.402		840.053		-19.268		402.254		2.5327		0.0904856		404.877		2.30902e+07		
394.936		354.835		531.198		-316.928		410.641		3.07902		2.08536		415.806		2.45986e+07		
390.225		419.071		443.708		400.281		-305.024		-0.0345345		0.737019		-304.321		-1.88101e+07		
443.489		405.677		471.204		-230.129		357.889		1.48005		0.418908		359.788		2.13288e+07		
437.655		546.874		523.174		-208.373		-340.565		-2.19595		1.35782		-341.403		-2.12078e+07		
544.1		644.679		586.579		-119.914		-287.489		-3.15786		0.79368		-289.853		-1.82289e+07		
133.841		220.57		182.857		74.4305		-31.2854		-0.759335		0.256517		-31.7882		-1.99057e+06		
255.262		100.534		126.703		-474.412		117.749		1.00796		-0.811441		117.945		7.10548e+06		
678.319		702.762		661.88		210.287		236.493		-1.47974		-0.36406		234.649		1.33239e+07		
596.119		667.497		679.682		75.0371		489.424		-1.21917		1.7617		489.967		2.87269e+07		
66.639		52.8795		692.36		478.136		-479.728		7.90222		7.84787		-463.978		-2.90368e+07		
618.6		891.295		870.1		-317.592		215.747		-7.42071		6.18694		214.513		1.14673e+07		
335.332		617.625		616.965		141.25		42.9257		-4.45877		4.43187		42.8988		1.83477e+06		
254.278		153.534		162.113		109.03		101.697		0.723649		-0.634153		101.787		6.10718e+06		
235.486		349.918		312.026		-120.539		-109.839		-1.52145		0.692489		-110.668		-6.89191e+06		
162.792		367.454		352.357		-295.004		-319.782		-1.97283		1.61369		-320.142		-1.9622e+07		
790.8		705.71		699.468		156.074		318.127		1.95927		-2.24915		317.838		1.82557e+07		
476.688		568.36		546.064		195.357		265.071		-1.99368		1.17248		264.25		1.5395e+07		
172.606		85.569		171.845		323.42		-2.6599		0.738308		-0.00432709		-1.92592		-175610		
