MA,MC,MH,la2,la3,la4,la5,laL,m22Squared,
567.812,571.007,219.728,2.85372,9.33081,-4.65013,-4.52987,0.150806,-87434.7,
617.137,624.722,408.685,2.25586,7.60164,-3.84482,-3.53353,0.223291,-320534,
528.485,531.071,91.5195,4.08965,8.90121,-4.56739,-4.47684,-0.143024,-25406.9,
860.965,886.183,691.503,3.43132,11.0518,-5.80348,-4.34736,0.901004,-901827,
550.803,555.364,224.563,0.738661,8.78011,-4.34672,-4.17997,0.253427,-85520.9,
374.051,410.826,325.906,1.36473,3.36838,-1.51079,-0.556863,1.30073,-133714,
200.686,256.742,181.316,0.781555,1.8541,-0.969697,-0.122275,0.762126,-19629.9,
124.926,141.005,89.2516,1.79091,-0.073529,-0.267573,-0.12626,-0.467361,-44214.5,
760.696,781.653,522.4,3.25916,11.3756,-6.12075,-5.0525,0.202335,-533559,
230.545,244.986,193.887,2.06623,0.336338,-0.484045,-0.257102,-0.40481,-99682.2,
228.775,269.152,188.225,0.788417,2.05677,-0.943855,-0.279415,0.833497,-20417.8,
334.91,370.036,294.882,3.09886,2.72506,-1.23493,-0.416576,1.07355,-108943,
888.553,893.538,609.537,1.01372,14.3479,-7.2007,-6.90711,0.240055,-728543,
